DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2016-05-30 19:11:35,1,148,0,15.851,10.054,74,1137,84138,0,0.405,2.108,13.358
2016-05-30 19:11:37,1,132,0,14.242,9.862,66,1137,75042,0,0.402,1.833,12.538
2016-05-30 19:11:39,1,96,0,14.49,8.926,48,1137,54576,0,0.021,1.698,12.958
2016-05-30 19:11:41,1,166,0,11.53,7.669,83,1137,94371,0,0.03,0.988,10.349
2016-05-30 19:11:43,1,110,0,17.564,12.062,55,1137,62535,0,0.145,1.527,15.536
2016-05-30 19:11:45,1,112,0,17.045,13.81,56,1137,63672,0,0,1.42,15.438
2016-05-30 19:11:47,1,69,0,27.957,16.145,34.5,1137,39226.5,0,0.116,2.42,24.71
2016-05-30 19:11:49,1,98,0,20,9.766,49,1137,55713,0,0.224,1.949,18.255
2016-05-30 19:11:51,1,83,0,23.614,9.177,41.5,1137,47185.5,0,0,1.807,21.458
2016-05-30 19:11:53,1,106,0,18.094,11.881,53,1137,60261,0,0.311,1.642,16.198
2016-05-30 19:11:55,1,68,0,29,19.021,34,1137,38658,0,0,3.441,25.632
2016-05-30 19:11:57,1,95,0,20.495,12.031,47.5,1137,54007.5,0,0,1.947,18.547
2016-05-30 19:11:59,1,134,0,14.366,8.854,67,1137,76179,0,0.306,1.112,13.052
2016-05-30 19:12:01,1,154,0,12.539,9.934,77,1137,87549,0,0.006,0.935,11.078
2016-05-30 19:12:03,1,90,0,21.656,20.458,45,1137,51165,0,0.367,2.589,18.656
2016-05-30 19:12:05,1,100,0,19.39,17.896,50,1137,56850,0,0.02,1.38,17.49
2016-05-30 19:12:07,1,147,0,13.293,10.139,73.5,1137,83569.5,0,0.116,1.014,12.027
2016-05-30 19:12:09,1,160,0,11.988,10.198,80,1137,90960,0,0.075,1.106,10.869
2016-05-30 19:12:11,1,130,0,14.838,11.343,65,1137,73905,0,0.008,1.054,13.246
2016-05-30 19:12:13,1,200,0,9.61,7.651,100,1137,113700,0,0.025,0.565,8.595
2016-05-30 19:12:15,1,116,0,16.767,15.884,58,1137,65946,0,0,1.241,15.164
2016-05-30 19:12:17,1,93,0,21.097,14.679,46.5,1137,52870.5,0,0.194,2.269,19.28
2016-05-30 19:12:19,1,112,0,16.759,14.964,56,1137,63672,0,0.018,1.839,15.5
2016-05-30 19:12:21,1,66,0,30.636,24.558,33,1137,37521,0,0,1.758,28.258
2016-05-30 19:12:23,1,171,0,11.333,9.161,85.5,1137,97213.5,0,0.263,0.906,10.269
2016-05-30 19:12:25,1,189,0,10.296,7.433,94.5,1137,107446.5,0,0.143,0.873,9.132
2016-05-30 19:12:27,1,97,0,19.918,17.779,48.5,1137,55144.5,0,0.031,1.856,18.278
