DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2016-05-30 19:09:19,1,99,0,23.162,16.322,49.5,1137,56281.5,0,0.505,1.869,19.323
2016-05-30 19:09:21,1,117,0,16.427,9.251,58.5,1137,66514.5,0,0.35,1.333,14.821
2016-05-30 19:09:23,1,129,0,14.519,7.83,64.5,1137,73336.5,0,0.248,1.202,13.124
2016-05-30 19:09:25,1,102,0,18.892,14.294,51,1137,57987,0,0.176,1.216,17.569
2016-05-30 19:09:27,1,72,0,27.042,26.738,36,1137,40932,0,0,1.403,25.819
2016-05-30 19:09:29,1,56,0,34.625,28.058,28,1137,31836,0,0,1.679,32.179
2016-05-30 19:09:31,1,64,0,29.828,17.546,32,1137,36384,0,0.016,1.547,27.234
2016-05-30 19:09:33,1,103,0,18.961,15.075,51.5,1137,58555.5,0,0.223,1.233,17.505
2016-05-30 19:09:35,1,77,0,25.403,16.638,38.5,1137,43774.5,0,0,1.052,23.429
2016-05-30 19:09:37,1,82,0,23.683,17.141,41,1137,46617,0,0.012,1.232,21.707
2016-05-30 19:09:39,1,145,0,13.269,7.996,72.5,1137,82432.5,0,0.014,0.669,12.407
2016-05-30 19:09:41,1,91,0,15.868,9.062,45.5,1137,51733.5,0,0,0.527,14.89
2016-05-30 19:09:43,1,60,0,33.367,18.72,30,1137,34110,0,0.833,2.25,31.267
2016-05-30 19:09:45,1,88,0,21.909,16.411,44,1137,50028,0,0,1.307,20.545
2016-05-30 19:09:47,1,60,0,32.783,20.165,30,1137,34110,0,0,2.233,31.283
2016-05-30 19:09:49,1,64,0,30.359,11.016,32,1137,36384,0,0.75,2.422,28.375
2016-05-30 19:09:51,1,69,0,28.754,15.845,34.5,1137,39226.5,0,0,1.261,27.087
2016-05-30 19:09:53,1,142,0,13.746,8.769,71,1137,80727,0,0.31,0.993,12.69
2016-05-30 19:09:55,1,150,0,13.013,6.945,75,1137,85275,0,0.02,0.853,12.04
2016-05-30 19:09:57,1,134,0,14.649,11.025,67,1137,76179,0,0.172,0.791,13.545
2016-05-30 19:09:59,1,140,0,13.914,8.31,70,1137,79590,0,0.179,0.907,12.721
2016-05-30 19:10:01,1,138,0,14.181,8.32,69,1137,78453,0,0.065,0.667,13.283
2016-05-30 19:10:03,1,135,0,14.607,7.815,67.5,1137,76747.5,0,0.081,0.733,13.793
2016-05-30 19:10:05,1,150,0,13,6.992,75,1137,85275,0,0.073,0.82,12.32
2016-05-30 19:10:07,1,129,0,15.186,11.517,64.5,1137,73336.5,0,0.008,0.984,14.488
2016-05-30 19:10:09,1,120,0,16.5,9.643,60,1137,68220,0,0.35,1.242,15.45
